name,category,lat,lon,country_code,rarity,floor_price_tdi,mint_difficulty,is_shiny,card_number,edition,token_id,tdc_per_24h,bonus_pct,game_resource,visitors_per_year,geopolitical_score,description,fun_fact,wiki_url,is_featured,source
Abu Dhabi Sheikh Zayed Mosque,religious_site,24.413,54.475,AE,uncommon,5.0,2,0,300,genesis,100300,25,40,culture,4500000,25,"World's 3rd largest mosque. 40,000 capacity. 82 domes. White marble.",,,1,seed
Abu Simbel,ancient_ruins,22.337,31.626,EG,uncommon,5.0,2,0,687,genesis,100687,25,45,culture,2250000,25,Ramesses II temples. Moved 64m uphill to save from Aswan flooding.,Sunlight hits inner sanctum on his birthday twice per year,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Ramesses_II_at_Kadesh.jpg/640px-Ramesses_II_at_Kadesh.jpg,1,seed
Abu Simbel Temples,ancient_ruins,22.337,31.626,EG,uncommon,5.0,2,0,243,genesis,100243,25,45,culture,2250000,25,Ramesses II temples. Moved 64m uphill to save from Aswan Dam flooding.,Sunlight hits inner sanctum on Ramesses birthday twice/year,,1,seed
Al-Ula Hegra,ancient_ruins,26.81,37.95,SA,uncommon,5.0,2,0,750,genesis,100750,25,45,culture,2250000,25,Nabataean tombs. Pre-Islamic. Opened to tourists 2019 first time.,Isolated for 2000 years - more intact than Petra,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Hegra_tombs.jpg/640px-Hegra_tombs.jpg,1,seed
Amritsar Golden Temple,religious_site,31.62,74.876,IN,uncommon,5.0,2,0,790,genesis,100790,25,40,culture,4500000,25,"Harmandir Sahib. Holiest Sikh shrine. Langar feeds 100,000 free/day.",Feeds most people for free of any place on Earth,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Golden_Temple_Amritsar.jpg/640px-Golden_Temple_Amritsar.jpg,1,seed
Apple Park Cupertino,tech_giant,37.335,-122.009,US,uncommon,5.0,2,0,223,genesis,100223,25,170,intel,300000,25,"$5B spaceship. 12,000 employees. Most valuable company ever.",,,1,seed
Baalbek Temples,ancient_ruins,34.006,36.217,LB,uncommon,5.0,2,0,745,genesis,100745,25,45,culture,2250000,25,UNESCO. Largest Roman temple ever. Jupiter temple columns 20m.,Three monolithic blocks in foundation weigh 800 tonnes each,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Baalbek_ruins.jpg/640px-Baalbek_ruins.jpg,1,seed
Bagan Archaeological Zone,ancient_ruins,21.173,94.857,MM,uncommon,5.0,2,0,451,genesis,100451,25,45,culture,2250000,25,"2,200 temples. Myanmar's greatest ancient city. Sunrise balloons.",,,1,seed
Bagan Temple City,ancient_ruins,21.173,94.857,MM,uncommon,5.0,2,0,327,genesis,100327,25,45,culture,2250000,25,"2,000+ temples over 104 km². 9th-13th century. Hot air balloon views.","Over 10,000 temples built — most destroyed by other kings",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Bagan_Myanmar.jpg/640px-Bagan_Myanmar.jpg,1,seed
Bali Rice Terraces,agri_megafarm,-8.37,115.12,ID,uncommon,5.0,2,0,824,genesis,100824,25,50,food,300000,25,UNESCO subak irrigation system. 1000 year old cooperative farming.,Priests coordinate planting using water temple ceremonies — works perfectly,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Tegallalang_Rice_Terrace.jpg/640px-Tegallalang_Rice_Terrace.jpg,1,seed
Bangkok Grand Palace,royal_palace,13.75,100.491,TH,uncommon,5.0,2,0,329,genesis,100329,25,70,culture,300000,25,"Emerald Buddha. 218,400 m². 1782. Gilded spires.",,,1,seed
Belize Great Blue Hole,coral_reef,17.315,-87.535,BZ,uncommon,5.0,2,0,911,genesis,100911,25,45,food,300000,25,UNESCO. 300m wide underwater sinkhole. Stalactites 120m down.,Jacques Cousteau called it one of top 5 dive sites in world,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Great_Blue_Hole.jpg/640px-Great_Blue_Hole.jpg,1,seed
Blue Mosque Istanbul,religious_site,41.005,28.977,TR,uncommon,5.0,2,0,285,genesis,100285,25,40,culture,4500000,25,"Sultan Ahmed Mosque. 6 minarets. 20,000 Iznik tiles.",,,1,seed
Borobudur Temple,religious_site,-7.608,110.204,ID,uncommon,5.0,2,0,343,genesis,100343,25,40,culture,4500000,25,"World's largest Buddhist monument. 9th century. 2,672 reliefs. UNESCO.",,,1,seed
